date,cashflow
2010-09-01,9011
2010-12-01,9363
2011-03-01,6050
2011-06-01,16013
2011-09-01,3849
2011-12-01,7459
2012-03-01,10891
2012-06-01,11748
2012-09-01,18869
2012-12-01,21636
2013-03-01,18169
2013-06-01,12051
2013-09-01,17233
2013-12-01,14070
2014-03-01,24543
2014-06-01,21664
2014-09-01,13833
2014-12-01,17239
2015-03-01,25526
2015-06-01,21995
2015-09-01,15627
2015-12-01,22256
2016-03-01,18995
2016-06-01,14436
2016-09-01,26367
2016-12-01,26384
2017-03-01,25586
2017-06-01,29557
2017-09-01,17342
2017-12-01,29826
2018-03-01,7508
2018-06-01,28810
2018-09-01,18586
2018-12-01,35655
2019-03-01,33265
2019-06-01,28753
2019-09-01,27255
2019-12-01,30564
2020-03-01,14071
2020-06-01,41812
2020-09-01,44132
2020-12-01,44323
2021-03-01,17283
2021-06-01,33530
2021-09-01,23886
